sistema,variante,nDCG@10,R-Precision,MRR,P@10,relevantes_no_qrels,altamente_relevantes,MRR_rel2,nDCG@5,Recall@5,RecallNorm@5,P@5,Recall@10,RecallNorm@10,nDCG@20,Recall@20,RecallNorm@20,P@20
bm25,tr,0.2168251913415891,0.2777777777777778,0.3333333333333333,0.3,18,13,0.3333333333333333,0.2133151284742553,0.1111111111111111,0.39999999999999997,0.4,0.16666666666666666,0.3,0.23317809988522367,0.2777777777777778,0.2777777777777778,0.25
gemma,tr,0.7359194876041768,0.6666666666666666,1.0,0.8,18,13,1.0,0.7664615984823989,0.2222222222222222,0.7999999999999999,0.8,0.4444444444444444,0.7999999999999999,0.7660801328102662,0.7222222222222222,0.7222222222222222,0.65
gemma_si,tr,0.6190032595368836,0.5,1.0,0.6,18,13,1.0,0.6843515475204854,0.16666666666666666,0.6,0.6,0.3333333333333333,0.6,0.6736840863546093,0.6111111111111112,0.6111111111111112,0.55
gemma_qipc,tr,0.7464991492572267,0.5555555555555556,1.0,0.8,18,13,1.0,0.9125299483251055,0.2777777777777778,1.0,1.0,0.4444444444444444,0.7999999999999999,0.6826474430579224,0.6111111111111112,0.6111111111111112,0.55
bgem3,tr,0.5212267888143806,0.6111111111111112,0.5,0.6,18,13,0.5,0.6608397947263838,0.2222222222222222,0.7999999999999999,0.8,0.3333333333333333,0.6,0.6142000098493324,0.6666666666666666,0.6666666666666666,0.6
bgem3_esp,tr,0.5478527392247046,0.5,1.0,0.5,18,13,1.0,0.6164336326286644,0.16666666666666666,0.6,0.6,0.2777777777777778,0.5,0.582880060480777,0.5,0.5,0.45
bgem3_hib,tr,0.5185933535589432,0.6111111111111112,0.5,0.6,18,13,0.5,0.6608397947263838,0.2222222222222222,0.7999999999999999,0.8,0.3333333333333333,0.6,0.5967089697596133,0.6111111111111112,0.6111111111111112,0.55
bm25,ipc_grupo,0.3494875456082564,0.3333333333333333,0.5,0.5,18,13,0.5,0.3938807921944381,0.16666666666666666,0.6,0.6,0.2777777777777778,0.5,0.3198951145804663,0.3333333333333333,0.3333333333333333,0.3
gemma,ipc_grupo,0.694439083237018,0.6666666666666666,1.0,0.7,18,13,1.0,0.7227265726449517,0.16666666666666666,0.6,0.6,0.3888888888888889,0.7,0.7141591301375162,0.6666666666666666,0.6666666666666666,0.6
gemma_si,ipc_grupo,0.6210388749399495,0.5555555555555556,1.0,0.7,18,13,1.0,0.6548086577531306,0.16666666666666666,0.6,0.6,0.3888888888888889,0.7,0.6228894113671257,0.5555555555555556,0.5555555555555556,0.5
gemma_qipc,ipc_grupo,0.6811879956696357,0.6666666666666666,1.0,0.7,18,13,1.0,0.9026211001048622,0.2777777777777778,1.0,1.0,0.3888888888888889,0.7,0.7740063777489792,0.7222222222222222,0.7222222222222222,0.65
bgem3,ipc_grupo,0.6286392367079833,0.5555555555555556,1.0,0.6,18,13,1.0,0.8304198973631919,0.2222222222222222,0.7999999999999999,0.8,0.3333333333333333,0.6,0.6150041872169162,0.5555555555555556,0.5555555555555556,0.5
bgem3_esp,ipc_grupo,0.5939624341317743,0.5,1.0,0.6,18,13,1.0,0.6548086577531306,0.16666666666666666,0.6,0.6,0.3333333333333333,0.6,0.6149266520372615,0.5555555555555556,0.5555555555555556,0.5
bgem3_hib,ipc_grupo,0.5998226759834688,0.5555555555555556,1.0,0.6,18,13,1.0,0.7860137352654724,0.2222222222222222,0.7999999999999999,0.8,0.3333333333333333,0.6,0.6575344377997476,0.6111111111111112,0.6111111111111112,0.55
bm25,ipc_direto,0.2168251913415891,0.2222222222222222,0.3333333333333333,0.3,18,13,0.3333333333333333,0.2133151284742553,0.1111111111111111,0.39999999999999997,0.4,0.16666666666666666,0.3,0.21779949461729667,0.2222222222222222,0.2222222222222222,0.2
gemma,ipc_direto,0.667040496133065,0.7777777777777778,1.0,0.7,18,13,1.0,0.8539316501572934,0.2222222222222222,0.7999999999999999,0.8,0.3888888888888889,0.7,0.8063428191792881,0.7777777777777778,0.7777777777777778,0.7
gemma_si,ipc_direto,0.6375883888281456,0.5,1.0,0.7,18,13,1.0,0.6843515475204854,0.16666666666666666,0.6,0.6,0.3888888888888889,0.7,0.6722027636258188,0.6111111111111112,0.6111111111111112,0.55
gemma_qipc,ipc_direto,0.7458677833627169,0.6111111111111112,1.0,0.8,18,13,1.0,0.9026211001048622,0.2777777777777778,1.0,1.0,0.4444444444444444,0.7999999999999999,0.735429498435118,0.6666666666666666,0.6666666666666666,0.6
bm25,ipc_hierarquia,0.4145623022230681,0.3888888888888889,0.3333333333333333,0.7,18,13,0.3333333333333333,0.35938347831696177,0.16666666666666666,0.6,0.6,0.3888888888888889,0.7,0.32678494691701976,0.3888888888888889,0.3888888888888889,0.35
gemma,ipc_hierarquia,0.6975007667072268,0.6666666666666666,1.0,0.7,18,13,1.0,0.7227265726449517,0.16666666666666666,0.6,0.6,0.3888888888888889,0.7,0.7537726436140982,0.7222222222222222,0.7222222222222222,0.65
gemma_si,ipc_hierarquia,0.5242884722845895,0.5555555555555556,0.5,0.6,18,13,0.5,0.6608397947263838,0.2222222222222222,0.7999999999999999,0.8,0.3333333333333333,0.6,0.5599546829480302,0.5555555555555556,0.5555555555555556,0.5
gemma_qipc,ipc_hierarquia,0.686537396714144,0.6111111111111112,1.0,0.7,18,13,1.0,0.8687949224876581,0.2222222222222222,0.7999999999999999,0.8,0.3888888888888889,0.7,0.7353108147088705,0.6666666666666666,0.6666666666666666,0.6
